repo_id,owner,name,full_name,description,main_language,stars_count,forks_count,open_issues_count,topics,topics_count,has_license,is_fork,is_template,repo_age_days,last_activity_days,watchers_count,network_count,contributors_count,readme_length,has_ci_cd,releases_count,closed_prs_count,weekly_commit_freq,has_tests,language_count,collected_at,category,source
10361,user_49148,open-bot-11,user_49148/open-bot-11,Cross-platform build system,C#,9412,1748,53,"['topic0', 'topic1', 'topic2', 'topic3', 'topic4', 'topic5', 'topic6', 'topic7', 'topic8']",9,True,False,False,3749,1,2578,1524,29,25694,True,300,4185,50.45,True,6,2026-05-26T07:28:14.337315,lead_architect,synthetic
10073,user_10862,homework-app-73,user_10862/homework-app-73,CS homework assignment,JavaScript,6,2,1,"['topic0', 'topic1']",2,False,False,False,189,393,1,2,2,170,False,0,2,0.45,False,1,2026-05-26T07:28:14.324213,intern_level,synthetic
10374,user_51723,open-bot-24,user_51723/open-bot-24,Open-source orchestration framework,Ruby,31640,7888,981,"['topic0', 'topic1', 'topic2', 'topic3', 'topic4', 'topic5', 'topic6', 'topic7', 'topic8', 'topic9', 'topic10', 'topic11', 'topic12', 'topic13', 'topic14', 'topic15', 'topic16', 'topic17']",18,True,False,False,3170,10,6958,8046,91,19266,True,57,1625,78.31,True,11,2026-05-26T07:28:14.338014,lead_architect,synthetic
10155,user_93801,basic-service-80,user_93801/basic-service-80,Portfolio website backend,Python,0,2,1,"['topic0', 'topic1']",2,False,False,False,641,341,0,1,3,191,True,1,7,1.43,False,2,2026-05-26T07:28:14.327904,junior_level,synthetic
10104,user_24053,simple-system-29,user_24053/simple-system-29,Basic e-commerce backend,Java,3,5,2,"['topic0', 'topic1']",2,False,False,False,308,352,0,5,2,2494,False,1,5,5.59,False,1,2026-05-26T07:28:14.325613,junior_level,synthetic
10394,user_85076,api-44,user_85076/api-44,Cross-platform build system,Python,6577,2078,292,"['topic0', 'topic1', 'topic2', 'topic3', 'topic4', 'topic5', 'topic6', 'topic7', 'topic8', 'topic9', 'topic10', 'topic11', 'topic12', 'topic13']",14,True,False,False,4795,10,1246,1999,35,20096,False,290,5207,95.37,True,3,2026-05-26T07:28:14.339034,lead_architect,synthetic
10377,user_12506,platform-tool-27,user_12506/platform-tool-27,Distributed database engine,C#,49625,12836,605,"['topic0', 'topic1', 'topic2', 'topic3', 'topic4', 'topic5', 'topic6']",7,True,False,False,4158,1,14424,10641,198,25805,True,97,4054,41.1,True,5,2026-05-26T07:28:14.338211,lead_architect,synthetic
10124,user_50692,demo-project-49,user_50692/demo-project-49,Weather app using public APIs,Rust,4,4,4,"['topic0', 'topic1']",2,True,False,False,202,173,0,3,2,2070,False,1,4,1.83,True,1,2026-05-26T07:28:14.326534,junior_level,synthetic
10068,user_37930,homework-tool-68,user_37930/homework-tool-68,Todo list app practice,Go,4,3,2,"['topic0', 'topic1']",2,False,False,False,316,127,0,2,2,226,False,1,2,2.75,False,1,2026-05-26T07:28:14.323986,intern_level,synthetic
10450,user_96829,untitled-project-0,user_96829/untitled-project-0,WIP project (abandoned),TypeScript,2,0,3,"['topic0', 'topic1']",2,False,True,False,2606,292,0,0,1,149,False,1,1,0.91,False,1,2026-05-26T07:28:14.341939,low_value,synthetic
